"시점","항목",대상분포(%),사교육비,과목: 일반교과 사교육,국  어,영  어,수  학,사회 과학,논  술,제2외국어 한문 컴퓨터 등,과목: 예체능취미교양 사교육,음  악,미  술,체  육,취미·교양,유형: 일반교과 사교육,개인과외,그룹과외,학원수강,방문학습지,유료인터넷 및 통신강좌 등,유형: 예체능취미교양 사교육,개인과외,그룹과외,학원수강,방문수업 및 기타
"2012","고등학교 (만원)",28.6,22.4,19.3,1.8,6.6,9.3,0.9,0.6,0.2,2.8,0.9,1.0,0.4,0.5,19.3,5.8,2.4,10.8,0.1,0.3,2.8,0.6,0.1,2.1,0.0
"2012","일반고 (만원)",23.0,26.5,23.3,2.2,7.9,11.3,1.0,0.8,0.2,3.0,1.0,1.1,0.4,0.5,23.3,6.9,3.0,13.1,0.1,0.4,3.0,0.6,0.1,2.2,0.0
"2013","초등학교 (만원)",43.0,23.2,15.8,1.4,7.8,4.5,0.8,0.9,0.4,7.4,3.1,1.0,2.8,0.4,15.8,1.4,1.8,10.3,2.0,0.2,7.4,1.1,0.5,5.6,0.1
"2013","중학교 (만원)",27.8,26.7,24.5,1.7,10.1,10.5,1.4,0.5,0.3,2.2,0.8,0.3,0.8,0.3,24.5,3.8,2.6,17.4,0.5,0.2,2.2,0.5,0.2,1.4,0.0
"2013","고등학교 (만원)",29.2,22.3,18.9,1.8,6.9,8.8,0.6,0.7,0.1,3.2,1.1,1.2,0.4,0.5,18.9,5.5,2.2,10.9,0.0,0.2,3.2,0.8,0.1,2.4,0.0
"2013","일반고 (만원)",24.0,26.2,22.5,2.2,8.1,10.5,0.7,0.8,0.1,3.7,1.3,1.3,0.5,0.6,22.5,6.6,2.6,12.9,0.0,0.2,3.7,0.9,0.1,2.7,0.0
"2014","초등학교 (만원)",43.4,23.2,15.2,1.3,7.6,4.5,0.7,0.8,0.3,7.9,3.2,1.0,3.3,0.4,15.2,1.3,1.8,9.8,2.1,0.2,7.9,1.2,0.7,6.0,0.1
"2014","중학교 (만원)",27.3,27.0,24.8,1.5,10.4,10.9,1.3,0.5,0.2,2.2,0.8,0.3,0.8,0.2,24.8,4.0,2.7,17.4,0.5,0.2,2.2,0.6,0.2,1.4,0.0
"2014","고등학교 (만원)",29.3,23.0,19.4,1.8,7.0,9.3,0.7,0.5,0.1,3.3,1.2,1.1,0.4,0.6,19.4,5.4,2.2,11.6,0.0,0.2,3.3,0.9,0.1,2.4,0.0
"2014","일반고 (만원)",24.0,26.9,23.0,2.2,8.2,11.0,0.9,0.6,0.1,3.8,1.4,1.3,0.5,0.6,23.0,6.4,2.6,13.7,0.0,0.2,3.8,1.0,0.1,2.7,0.0
"2015","초등학교 (만원)",44.6,23.1,14.7,1.3,7.0,4.4,0.7,0.9,0.4,8.4,3.2,1.1,3.6,0.5,14.7,1.7,1.9,8.9,2.0,0.2,8.4,1.2,0.7,6.3,0.2
"2015","중학교 (만원)",26.0,27.5,25.1,1.4,10.5,11.0,1.3,0.5,0.3,2.5,0.9,0.3,0.9,0.3,25.1,4.0,2.8,17.6,0.4,0.2,2.5,0.7,0.3,1.4,0.0
"2015","고등학교 (만원)",29.4,23.6,20.2,1.8,7.2,9.7,0.8,0.5,0.1,3.1,0.9,1.2,0.6,0.5,20.2,5.4,2.1,12.4,0.0,0.2,3.1,0.8,0.1,2.2,0.0
"2015","일반고 (만원)",24.1,27.6,24.0,2.2,8.6,11.5,1.0,0.6,0.1,3.5,1.0,1.4,0.6,0.5,24.0,6.4,2.6,14.7,0.0,0.3,3.5,0.9,0.1,2.4,0.0
"2016","초등학교 (만원)",45.4,24.1,14.2,1.3,6.7,4.0,0.7,1.0,0.4,10.0,3.8,1.2,4.3,0.7,14.2,1.3,1.6,8.7,2.1,0.6,10.0,1.2,0.7,7.5,0.5
"2016","중학교 (만원)",24.8,27.5,24.6,1.4,10.1,10.8,1.4,0.6,0.3,2.9,0.9,0.3,1.3,0.4,24.6,3.8,2.2,17.8,0.4,0.3,2.9,0.7,0.3,1.7,0.2
"2016","고등학교 (만원)",29.8,26.2,22.1,2.3,7.7,10.4,1.1,0.5,0.2,3.7,1.1,1.4,0.6,0.6,22.1,5.3,2.2,14.3,0.0,0.3,3.7,1.0,0.2,2.4,0.1
"2016","일반고 (만원)",24.5,30.4,26.1,2.7,9.0,12.3,1.3,0.6,0.1,4.0,1.3,1.5,0.6,0.6,26.1,6.1,2.6,16.9,0.0,0.4,4.0,1.2,0.2,2.6,0.1
"2017","초등학교 (만원)",46.7,25.3,14.6,1.4,6.7,4.3,0.8,1.0,0.4,10.7,3.9,1.3,4.7,0.8,14.6,1.2,1.7,9.0,2.1,0.6,10.7,1.2,0.9,7.9,0.7
"2017","중학교 (만원)",24.1,29.1,25.5,1.5,10.5,11.1,1.4,0.7,0.3,3.5,1.2,0.5,1.4,0.4,25.5,3.4,2.7,18.6,0.5,0.3,3.5,1.0,0.3,2.0,0.2
"2017","고등학교 (만원)",29.2,28.5,23.3,2.7,7.7,10.9,1.2,0.5,0.3,4.5,1.2,1.4,1.1,0.9,23.3,4.9,2.4,15.6,0.1,0.3,4.5,1.3,0.2,2.9,0.1
"2017","일반고 (만원)",24.1,33.2,27.5,3.3,9.1,12.9,1.4,0.5,0.2,5.1,1.3,1.6,1.2,1.0,27.5,5.7,2.8,18.5,0.1,0.4,5.1,1.5,0.2,3.3,0.1
"2018","초등학교 (만원)",48.6,26.3,15.5,1.5,7.0,4.5,0.8,1.2,0.5,10.8,3.6,1.4,4.9,0.8,15.5,1.4,1.8,9.3,2.2,0.7,10.8,1.3,0.9,8.0,0.6
"2018","중학교 (만원)",23.9,31.2,27.4,1.6,11.2,12.0,1.5,0.8,0.3,3.7,1.0,0.5,1.8,0.5,27.4,3.7,2.8,20.0,0.5,0.4,3.7,0.8,0.5,2.3,0.2
"2018","고등학교 (만원)",27.6,32.1,26.2,3.5,8.7,11.8,1.5,0.4,0.3,5.2,1.6,1.8,1.0,0.8,26.2,5.2,2.4,18.1,0.1,0.4,5.2,1.5,0.2,3.5,0.1
"2018","일반고 (만원)",22.7,37.6,31.1,4.2,10.2,14.0,1.8,0.5,0.3,5.8,1.9,2.0,1.0,0.9,31.1,6.1,2.9,21.5,0.1,0.5,5.8,1.7,0.2,3.8,0.1
